x0,x1,x2,x3,x4,x5,x6,x7,pv_kWp,battery_kWh,pcm_kg,compressor_kWh,feasible,failure_reason,unmet_kWh,rh_violation_hours,battery_soc_min,pcm_soc_min,pcm_candidate,pcm_transition_C,pcm_conductivity_W_mK,pcm_usable_enthalpy_J_kg,pcm_leakage_pct,pcm_cycle_retention_500,pcm_cost_INR_kg,pcm_data_status
19.95937878,8.91095764,439.70343461,4.99875245,8.87426701,17.70967777,4970.05353685,27.98403621,19.959378782615147,8.910957644423117,439.7034346087816,7124.625058874738,False,POST_SIM_CONSTRAINT,519.6584545591761,50.0,0.2,0.03298459300258627,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
20.611165,34.95532561,632.98513786,5.0762238,8.63602866,11.20452877,4053.02150208,25.73495716,20.611165003725628,34.95532561020283,632.9851378600488,7037.545683919481,False,POST_SIM_CONSTRAINT,132.65990463254434,0,0.4715965726561549,0.17204592777503303,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
20.78184951,31.62494591,984.67783139,5.57407236,6.01332142,7.55149083,6926.08725569,34.21081481,20.781849511123443,31.62494590856689,984.6778313902895,7110.964407837708,False,POST_SIM_CONSTRAINT,534.3080991671613,0,0.466208337697368,0.19162831339252628,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
21.26231907,28.05132172,470.60514845,5.06206987,11.65667226,11.06822481,5600.78494725,31.60033358,21.262319066772342,28.051321722783477,470.60514844911097,7209.18490410489,False,POST_SIM_CONSTRAINT,472.7763038187746,0,0.4059726253340544,0.09311284441252021,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
6.79102622,18.97824882,550.69318837,6.8079044,8.82600115,14.96150435,6891.5915237,36.60797226,6.7910262196590105,18.97824881527874,550.6931883663302,10000.0,False,ROOM_T_LIMIT,,0,0.2900540501939326,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
20.8904655,12.84125501,459.67402945,8.40151823,9.64102784,18.09042445,4317.25449863,35.85037708,20.890465499009128,12.84125500553254,459.67402945307606,6791.3083686814025,False,POST_SIM_CONSTRAINT,51.25244767910628,32.0,0.2,0.04457007370562538,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
13.08513451,12.47370983,540.27126374,9.95452733,11.648257,7.1724445,5836.69620945,31.58737074,13.08513450583373,12.473709830169183,540.2712637448401,10000.0,False,ROOM_T_LIMIT,,0,0.2,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
19.75692963,25.87511706,429.68723739,8.78712346,10.40720937,10.6584094,6062.53799181,13.3171598,19.756929632198414,25.875117058810964,429.68723738613426,5616.9121998849005,False,POST_SIM_CONSTRAINT,4.929461283609271e-13,0,0.37956376271597375,0.21808882882348135,BIOCHAR_CS_CA_LA_OA,3.1,1.853,104900.0,6.49,0.977,180.0,literature_core_properties_plus_screening_assumptions
13.35514628,7.40259906,680.38499935,7.37208322,8.65552914,7.00307961,8595.03402299,32.56644793,13.355146275451947,7.402599062437453,680.3849993452465,10000.0,False,ROOM_T_LIMIT,,0,0.2,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
6.97891736,22.44738067,873.33883267,4.35533609,11.30731937,19.60679714,9404.80100556,36.16107304,6.9789173638719815,22.447380671859513,873.3388326670912,10000.0,False,ROOM_T_LIMIT,,0,0.2076115875215938,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
9.70743698,24.61402,948.30097812,3.31310315,10.56659629,9.31692434,10210.01800737,29.27258621,9.70743698425737,24.614019998127553,948.3009781205371,10000.0,False,ROOM_T_LIMIT,,0,0.22753449415270074,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
14.20940652,5.65672483,887.22347542,8.19170874,11.76987264,6.10239172,6919.45004568,18.51407196,14.209406515293503,5.656724830983222,887.2234754152717,10000.0,False,ROOM_T_LIMIT,,0,0.458875740135199,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
11.78305355,25.99853227,896.61324304,4.05670278,5.60442934,15.0714441,5389.95323928,15.78031461,11.783053545453665,25.998532272520567,896.6132430390007,10000.0,False,ROOM_T_LIMIT,,0,0.20659013652837518,nan,BIOCHAR_CS_CA_LA_OA,,,,,,,literature_core_properties_plus_screening_assumptions
